brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.60509,2020-02-06,93,158.05858944214185
비에날씬,0.52547,2020-02-07,93,137.2606504720988
비에날씬,0.42993,2020-02-08,93,112.30416856808084
비에날씬,0.82404,2020-02-09,93,215.25161553471807
비에날씬,0.87977,2020-02-10,93,229.80912795371455
비에날씬,0.88773,2020-02-11,93,231.888399420702
비에날씬,1.64808,2020-02-12,93,430.50323106943614
비에날씬,1.34554,2020-02-13,93,351.4752424234073
비에날씬,0.70859,2020-02-14,93,185.09434281314728
비에날씬,0.50557,2020-02-15,93,132.06247180463012
비에날씬,0.50159,2020-02-16,93,131.0228360711364
비에날씬,0.88773,2020-02-17,93,231.888399420702
비에날씬,3.71019,2020-02-18,93,969.1573120731465
비에날씬,1.2699,2020-02-19,93,331.71693918685804
비에날씬,1.23805,2020-02-20,93,323.397241168824
비에날씬,0.72054,2020-02-21,93,188.21586216371261
비에날씬,0.43391,2020-02-22,93,113.3438043015746
비에날씬,0.63694,2020-02-23,93,166.37828746017587
비에날씬,1.56449,2020-02-24,93,408.6682685159835
비에날씬,0.9156,2020-02-25,93,239.1684617052423
비에날씬,1.89888,2020-02-26,93,496.01595518004643
비에날씬,0.95143,2020-02-27,93,248.5277954567701
비에날씬,0.7484,2020-02-28,93,195.49331229816877
비에날씬,1.11464,2020-02-29,93,291.16069698026575
비에날씬,0.79617,2020-03-01,93,207.97155325017778
비에날씬,1.1863,2020-03-02,93,309.87936448332124
비에날씬,0.98328,2020-03-03,93,256.84749347480414
비에날씬,0.76433,2020-03-04,93,199.65446738222786
비에날씬,0.58519,2020-03-05,93,152.86041077467317
비에날씬,1.15445,2020-03-06,93,301.5596664652872
비에날씬,0.55334,2020-03-07,93,144.54071275663912
비에날씬,0.46974,2020-03-08,93,122.70313805310236
비에날씬,0.76831,2020-03-09,93,200.69410311572165
비에날씬,0.70859,2020-03-10,93,185.09434281314728
비에날씬,0.70461,2020-03-11,93,184.05470707965353
비에날씬,0.41799,2020-03-12,93,109.18526136759964
비에날씬,0.94745,2020-03-13,93,247.48815972327634
비에날씬,0.60111,2020-03-14,93,157.01895370864813
비에날씬,2.10589,2020-03-15,93,550.0900740721414
비에날씬,0.91162,2020-03-16,93,238.12882597174857
비에날씬,1.17834,2020-03-17,93,307.8000930163338
비에날씬,1.34554,2020-03-18,93,351.4752424234073
비에날씬,1.22213,2020-03-19,93,319.23869823484904
비에날씬,0.7484,2020-03-20,93,195.49331229816877
비에날씬,0.58121,2020-03-21,93,151.82077504117942
비에날씬,0.80015,2020-03-22,93,209.0111889836715
비에날씬,1.03105,2020-03-23,93,269.32573442681314
비에날씬,1.20621,2020-03-24,93,315.0801553008741
비에날씬,2.28105,2020-03-25,93,595.8444949462024
비에날씬,0.87181,2020-03-26,93,227.72985648672704
비에날씬,0.67675,2020-03-27,93,176.7772569451974
비에날씬,1.1664,2020-03-28,93,304.6811858158526
비에날씬,0.48168,2020-03-29,93,125.82204525358357
비에날씬,0.83996,2020-03-30,93,219.41015846869303
비에날씬,0.78423,2020-03-31,93,204.85264604969657
비에날씬,1.09076,2020-04-01,93,284.9228825793033
비에날씬,0.69665,2020-04-02,93,181.97543561266608
비에날씬,1.68391,2020-04-03,93,439.86256482096394
비에날씬,7.83439,2020-04-04,93,2046.460249780399
비에날씬,10.99522,2020-04-05,93,2872.1164848304
비에날씬,11.71576,2020-04-06,93,3060.3323469941124
비에날씬,4.4148,2020-04-07,93,1153.2120191528
비에날씬,5.44984,2020-04-08,93,1423.5800014631911
비에날씬,5.15525,2020-04-09,93,1346.6286721340655
비에날씬,10.0,2020-04-10,93,2612.1500841551147
비에날씬,5.78025,2020-04-11,93,1509.88805239376
비에날씬,11.87898,2020-04-12,93,3102.9678606676925
비에날씬,4.34713,2020-04-13,93,1135.5355995333223
비에날씬,3.25238,2020-04-14,93,849.5704690704413
비에날씬,4.72929,2020-04-15,93,1235.3615271493943
비에날씬,4.47452,2020-04-16,93,1168.8117794553743
비에날씬,4.76512,2020-04-17,93,1244.720860900922
비에날씬,10.34235,2020-04-18,93,2701.577042286165
비에날씬,8.39171,2020-04-19,93,2192.040598270532
비에날씬,5.09156,2020-04-20,93,1329.9918882480818
비에날씬,4.34315,2020-04-21,93,1134.4959637998286
비에날씬,6.33359,2020-04-22,93,1654.4287651503994
비에날씬,5.70461,2020-04-23,93,1490.1297491572109
비에날씬,12.31289,2020-04-24,93,3216.311664969267
비에날씬,15.35828,2020-04-25,93,4011.8132394477816
비에날씬,9.28742,2020-04-26,93,2426.0134934583893
비에날씬,7.082,2020-04-27,93,1849.9246895986523
비에날씬,6.98248,2020-04-28,93,1823.9285719611405
비에날씬,5.48168,2020-04-29,93,1431.897087331141
비에날씬,5.65286,2020-04-30,93,1476.6118724717082
비에날씬,9.2277,2020-05-01,93,2410.4137331558154
비에날씬,6.67993,2020-05-02,93,1744.8979711650275
비에날씬,11.56449,2020-05-03,93,3020.818352671098
비에날씬,8.75796,2020-05-04,93,2287.710595102713
비에날씬,5.56528,2020-05-05,93,1453.7346620346775
비에날씬,5.83598,2020-05-06,93,1524.4455648127566
비에날씬,6.03105,2020-05-07,93,1575.4007765043705
